"loc","quality","auc"
2,1,0.797484984984985
2,2,0.810610996724787
2,3,0.807475605544087
2,4,0.821330869820536
2,5,0.806025362032871
3,1,0.727738584474886
3,2,0.714350495915986
3,3,0.718777194919934
3,4,0.720878087100331
3,5,0.78241065598549
4,1,0.875031034482759
4,2,0.817021084337349
4,3,0.83767032967033
4,4,0.809098351648352
4,5,0.833077016129032
5,1,0.803559210526316
5,2,0.725251308139535
5,3,0.704841899441341
5,4,0.707110773480663
5,5,0.711968907563025
6,1,0.837424193548387
6,2,0.886680405405405
6,3,0.879499655884377
6,4,0.882023804644809
6,5,0.888203903614458
7,1,0.798816666666667
7,2,0.716133823529412
7,3,0.708993663366337
7,4,0.701161067193676
7,5,0.78832572368421
8,1,0.8301625
8,2,0.780979241071429
8,3,0.779001271186441
8,4,0.774625630252101
8,5,0.806951803278689
9,1,0.733418702290076
9,2,0.763868676900585
9,3,0.759115744680851
9,4,0.759676203966006
9,5,0.784140404275093
10,1,0.849060869565217
10,2,0.850639473684211
10,3,0.854053571428571
10,4,0.863423809523809
10,5,0.870024226804124
11,1,0.74208734939759
11,2,0.735533870967742
11,3,0.723158711217184
11,4,0.736461455847255
11,5,0.765524872665535
12,1,0.799308
12,2,0.733868
12,3,0.731418798449612
12,4,0.731880384615385
12,5,0.746126714285714
13,1,0.910063333333333
13,2,0.890771641791045
13,3,0.90189527027027
13,4,0.890910810810811
13,5,0.892067346938776
14,1,0.766088709677419
14,2,0.712843955223881
14,3,0.712974964438122
14,4,0.715000347705146
14,5,0.716667060085837
