"loc","quality","auc"
2,1,0.996710526315789
2,2,0.990131578947368
2,3,0.990131578947368
2,4,0.990131578947368
2,5,0.996710526315789
3,1,0.965749617896346
3,2,0.5
3,3,0.984229540086147
3,4,0.984229540086147
3,5,0.984229540086147
4,1,0.997131147540984
4,2,0.991393442622951
4,3,0.991393442622951
4,4,0.991393442622951
4,5,0.992213114754098
5,1,0.994019138755981
5,2,0.996411483253589
5,3,0.996411483253589
5,4,0.996411483253589
5,5,0.998803827751196
6,1,0.99685953559193
6,2,0.97801674914351
6,3,0.5
6,4,0.5
6,5,0.5
7,1,0.999568965517241
7,2,0.986637931034483
7,3,0.998706896551724
7,4,0.998706896551724
7,5,0.998706896551724
8,1,0.998769483182937
8,2,0.998769483182937
8,3,0.990566037735849
8,4,0.990566037735849
8,5,0.990566037735849
9,1,0.995558672276765
9,2,0.982935951379149
9,3,0.999766245909303
9,4,0.999766245909303
9,5,0.999766245909303
10,1,0.999572284003422
10,2,0.977331052181352
10,3,0.999572284003422
10,4,0.999572284003422
10,5,0.999572284003422
11,1,0.999072847682119
11,2,0.999072847682119
11,3,0.888079470198676
11,4,0.888079470198676
11,5,0.93205298013245
12,1,0.989736070381232
12,2,0.986803519061584
12,3,0.986803519061584
12,4,0.986803519061584
12,5,0.998533724340176
13,1,0.988310708898944
13,2,0.999622926093514
13,3,0.987556561085973
13,4,0.987556561085973
13,5,0.987556561085973
14,1,0.995600612088753
14,2,0.924062739097169
14,3,0.957727620504973
14,4,0.957727620504973
14,5,0.957727620504973
