Proposed Weather Station,WS#,SCADA,Pole,Circuit,Lat,Lon,Priority,Community,Dist,Notes,PSPS Redcuction?,1 = PSPS Reduction & New Switch or 230kV Transmission
Margarita Peak,,,,,33.42941,-117.382772,1,Camp Pendleton,NE,-,N,2 = PSPS Reduction & Existing Switch
De Luz Heights,,,,,33.431423,-117.254302,1,De Luz,NE,Existing Switch ,Y,3 = Transmission
Gavilan Mountain,,,,,33.431739,-117.21239,1,De Luz,NE,No switch needed,N,4 = Fills Void
Valley Center High Point,223,,,,33.248419,-117.010624,1,Valley Center,NE,New Switch ,Y,
North Miller Rd,224,,,,33.255853,-117.033763,1,Valley Center,NE,New Firm Switch ,Y,
 Thundernut,225,,,,33.235369,-116.972891,1,Valley Center,NE,New Switch ,Y,
Harmony Grove,232,,,,33.097936,-117.130462,1,Harmony Grove,NE,New Switch ,Y,
San Elijo Canyon,,,,,33.097497,-117.146462,1,Harmony Grove,NE,New Switch ,Y,
Del Dios North,230,,,,33.083899,-117.118462,1,Del Dios,NE,New Switch ,Y,
Del Dios South,231,,,,33.059495,-117.121765,1,Del Dios,NE,Existing Switch,Y,
Morena Dam,238,,,,32.685097,-116.546795,1,Lake Morena,EA,New Switch ,N,
Simon Open Space ,234,,,,33.030521,-116.827807,1,Ramona,NE,New Switch ,N,
De Luz Creek,,,,,33.429249,-117.323876,2,De Luz,NE,Existing Switch ,Y,
De Luz Rd,,,,,33.413515,-117.283699,2,De Luz,NE,Existing Switch ,Y,
Santa Margarita River,239,,,,33.417532,-117.206594,2,De Luz,NE,Existing Switch,Y,
Rice Canyon,,,,,33.399833,-117.150192,2,Rainbow,NE,Existing Switch,Y,
Rainbow Glen,,,,,33.413828,-117.183862,2,Rainbow,NE,Existing Switch ,Y,
Rainbow Conservation Camp,240,,,,33.426525,-117.121452,2,Rainbow,NE,Existing Siwtch,Y,
Mt. Woodson Golf Club,236,,,,33.016832,-116.972033,2,Ramona,NE,Existing Switch (4-way),Y,
Cool Valley,226,,,,33.265317,-116.993528,2,Valley Center,NE,Existing Switch ,Y,
 Rim of the Valley,227,,,,33.286362,-116.986676,2,Valley Center,NE,Existing Switch ,Y,
Calle De Vista,228,,,,33.21975,-117.023217,2,Valley Center,NE,Existing Switch ,Y,
South Miller Rd Matics Field,229,,,,33.23781,-117.029574,2,Valley Center,NE,Existing Switch ,Y,
North Ramona,233,,,,33.059736,-116.881259,2,Ramona,NE,Move existing switch to ,N,
Dos Picos,235,,,,32.999647,-116.939362,2,Ramona,NE,New SCADA switch ,Y,
Horno Summit,,,,,33.375225,-117.437985,2,Camp Pendleton,OC,-,N,
Valley Center Hilltop,,,,,33.274119,-117.039375,3,Valley Center,NE,Existing Switch 350-33R,N,
Hauser Mountain,237,,,,32.658194,-116.557345,3,Campo,EA,,N,
Eagles Nest,,,,,33.287555,-116.597677,3,Warner Springs,RA,-,N,
Longs Gulch,,,,,,,4,Barona,EA,Existing Switch,P,
