Code,WS,CirAssociation,WSName,Dist,ADDRESS,Zip,ThomBros,SCADA,StrNum,Cir,LAT,LON,NWSZone,Elev,Installed,CNF,HFTD
ALLC1,15,,Aliso Laguna RAWS,OC,,92651,(OC),,,,33.5358,-117.7535,Coastal-552,845,7/25/2016,N,N
ANE,21,,Alpine,EA,,91901,1234-A7,,,,32.827078,-116.773356,Inland Valley-250,1814,8/14/2009,N,T2
AMO,22,,Ammo Dump,NC,,92055,1027-C6,,,,33.357121,-117.276505,Inland Valley-250,542,8/4/2009,N,T2
AVY,171,,Anderson Valley,EA,,91901,1234-D1,,,,32.864675,-116.74797,Inland Valley-250,2667,7/18/2015,Y,T3
ARH,54,,Archie Moore,RA,,92065,1151-E6,,,,33.040094,-116.959291,Inland Valley-250,1509,8/14/2010,N,T3
AVO,109,,Avocado,NE,,92028,1027-F1,,,,33.39251,-117.2547,Inland Valley-250,658,6/24/2011,N,T2
BNA,52,,Barona,RA,,92040,1192-F7,,,,32.93508,-116.87671,Inland Valley-250,1334,8/14/2010,N,T3
BRM,149,,Barona Mesa,RA,,92065,1173-H7,,,,32.9777,-116.7803,Inland Valley-250,1925,6/12/2012,Y,T3
BRJ,110,,Barrett Junction,ME,,91917,1335,,,,32.60175,-116.68458,Inland Valley-250,1225,6/11/2011,N,T3
BAJC1,9,,Barrett RAWS,EA,,91935,1315-A1,,,,32.6675,-116.6994,Inland Valley-250,2488,9/24/2009,N,T3
CAP,23,,Bell Canyon ,OC,,92675,923-G7,,,,33.55751,-117.547413,Coastal-554,503,8/1/2009,N,T2
BLC,105,,Black Canyon,RA,,92065,1133,,,,33.09856,-116.82758,Inland Valley-250,1891,8/14/2010,Y,T3
BMR,212,,Black Mountain Ranch ,NE,,92127,1169-C6,,,,32.994884,-117.132931,Inland Valley-250,656,8/25/2019,N,T2
BVY,50,,Blossom Valley,EA,,92021,1233-B2,,,,32.86778,-116.843044,Inland Valley-250,1172,7/13/2010,N,T3
BLU,219,,Blue Sky ,NE,,92064,1170-J3,,,,33.015079,-117.005047,Inland Valley-250,798,8/25/2019,N,T2
BFD,160,,Border Field ,CM,,92154,1350-A6,,,,32.54197,-117.096732,Coastal-243,328,4/18/2015,N,N
BRG,139,,Borrego,NE,,92004,1079-C1,,,,33.262469,-116.348273,Desert-262,554,7/28/2011,N,N
BOC,65,,Boulder Creek,ME,,91916,1195-G5,,,,32.940415,-116.636688,Mountain-258,3719,6/24/2010,Y,T3
