Serial_Num,Date_Insta,Station.Name,Station_Co,lat,lon,Elev_ft,Hyperlink,HFTD,GlobalID,created_us,created_da,last_edite,last_edi_1,geometry,Mesonet,Station.ID,Elevation,County,First.Data.Date,Last.Data.Date,Status,last.year,Quality,Tier
3101.0,2019-05-01,GLS7600-Walden,LIB-3101,39.33140025,-120.07387304,6836.0,https://liberty.westernweathergroup.com/,2,{4564A088-27F1-4E3E-820E-4F441D78C8AE},,,Dwarburg,2023-07-12,POINT (235049.9115000004 4358059.8298),,,,,,,,,2,IOU
3102.0,2019-05-02,TAH7300-DL Bliss,LIB-3102,38.97561752,-120.1002868,6827.0,G:\California\Data\Working\Misc\Pictures\WeatherStations\TahoeCity\Tahoe City 7300 Weather Station.jpg,2,{56A0069C-9DDD-40D9-BB3B-7BAF3C89FBCF},,,Dwarburg,2023-03-16,POINT (231422.09009999968 4318643.2162),,,,,,,,,2,IOU
3103.0,2019-05-17,MUL1296-Woodfords,LIB-3103,38.78265502,-119.81787483,5529.0,G:\California\Data\Working\Misc\Pictures\WeatherStations\Muller\Muller 1296 Weather Station.jpg,2,{B393CEAE-91E9-4C6B-B401-540CDE6E2A5F},,,Dwarburg,2023-03-16,POINT (255230.18340000045 4296429.2585),,,,,,,,,2,IOU
3104.0,2019-06-10,BKY4201-Summit,LIB-3104,39.26120105,-120.07202993,7205.0,G:\California\Data\Working\Misc\Pictures\WeatherStations\Brockaway\Brckway 5201 Pole#258464.jpg,2,{17F0C216-130A-4E4F-A1CE-959CF64B7E5B},,,Dwarburg,2023-03-16,POINT (234943.93269999977 4350261.710100001),,,,,,,,,2,IOU
3105.0,2019-05-20,TPZ1261–Park Ranch,LIB-3105,38.64120833,-119.52024486,5047.0,G:\California\Data\Working\Misc\Pictures\WeatherStations\Topaz\Topaz 1261 Weather Station.jpg,2,{1277F6EA-6361-468B-BE34-09E5719B3FD3},,,Dwarburg,2023-03-16,POINT (280655.09420000017 4279975.181399999),,,,,,,,,2,IOU
3106.0,2019-05-31,TPZ1261-Walker,LIB-3106,38.53392933,-119.50417525,5484.0,https://liberty.westernweathergroup.com/,2,{F3520ED7-0F4C-4748-B74D-85F3A4F0ABCA},,,Dwarburg,2023-07-12,POINT (281729.1091 4268030.2871),,,,,,,,,2,IOU
3108.0,2019-06-10,111Line-Columbine Trail,LIB-3108,38.89062192,-119.95966737,6496.0,G:\California\Data\Working\Misc\Pictures\WeatherStations\111\111 Line Weather Station.jpg,3,{13B9B0AC-ADC2-416B-93EC-0B30EF36C4F3},,,Dwarburg,2023-03-16,POINT (243299.8052000003 4308802.938999999),,,,,,,,,2,IOU
3109.0,2019-06-17,POR31- Iron Horse,LIB-3109,39.77898046,-120.50285337,5001.0,G:\California\Data\Working\Misc\Pictures\WeatherStations\Portola\Portola 31 Pole#225870.jpg,2,{AEFF360B-1466-4AE8-8596-C6B7D9698FFC},,,Dwarburg,2023-03-16,POINT (200002.60030000005 4409097.5505),,,,,,,,,2,IOU
3110.0,,619 Line-Sierra Valley West,LIB-3110,39.75931591,-120.37411598,4887.0,G:\California\Data\Working\Misc\Pictures\WeatherStations\619\619 Line Pole#290210.jpg,Non-HFTD,{E9C8889E-20E1-4844-8B75-F76DD8359875},,,bmallett,2023-06-16,POINT (210948.2226999998 4406490.4088),,,,,,,,,2,IOU
3112.0,2020-10-09,CEM41-Garage Pit Rd,LIB-3112,39.67508876,-120.22198092,5013.0,https://liberty.westernweathergroup.com/,Non-HFTD,{EA4C5574-5B4F-49A9-8EB0-4438CB51E543},,,Dwarburg,2023-07-12,POINT (223647.50760000013 4396659.307),,,,,,,,,2,IOU
3116.0,2020-10-09,SRB51-Smithneck Rd,LIB-3116,39.64349314,-120.21375008,5190.0,https://liberty.westernweathergroup.com/,2,{E6222F0E-19B6-46B1-974A-AE324BAB64AA},,,Dwarburg,2023-07-12,POINT (224227.91669999994 4393126.3325),,,,,,,,,2,IOU
3113.0,2020-10-16,CAL204-Dog Valley,LIB-3113,39.52486045,-120.00444163,4987.0,https://liberty.westernweathergroup.com/,0,{5D48C659-4E7C-442C-8DF4-EF3B9451BCC4},,,Dwarburg,2023-07-12,POINT (241751.5027999999 4379334.230900001),,,,,,,,,2,IOU
3124.0,2020-08-27,Washoe204-Fariad,LIB-3124,39.44983219,-120.00982512,5265.0,https://liberty.westernweathergroup.com/,2,{5465088A-E485-4419-85E7-73114DEEA8E1},,,Dwarburg,2023-07-12,POINT (241010.19359999988 4371020.8223),,,,,,,,,2,IOU
3123.0,2020-10-05,WSH201-Floriston,LIB-3123,39.40480018,-120.02547384,5240.0,https://liberty.westernweathergroup.com/,2,{EDC10E1A-3BFC-4B30-B088-D28DE0DF98FB},,,Dwarburg,2023-07-12,POINT (239495.59939999972 4366066.957900001),,,,,,,,,2,IOU
3115.0,2020-09-11,Hobart Sub,LIB-3115,39.39921252,-120.1499326,5853.0,https://liberty.westernweathergroup.com/,2,{C3A40ED2-B90D-4858-85FC-420EDDEC2E55},,,Dwarburg,2023-07-12,POINT (228755.4592000004 4365813.6932),,,,,,,,,2,IOU
3127.0,2020-10-20,621Line-I-80 Gravel Pit,LIB-3127,39.36963725,-120.11361969,5606.0,https://liberty.westernweathergroup.com/,2,{779E63B8-759D-45CA-871C-AB93B0572478},,,Dwarburg,2023-07-12,POINT (231769.70569999982 4362421.9091),,,,,,,,,2,IOU
3121.0,2020-08-21,7400-Glenshire,LIB-3121,39.35208244,-120.09746745,5872.0,https://liberty.westernweathergroup.com/,2,{4CDD8FBF-26E1-4651-AD9A-30C7FF856FD5},,,Dwarburg,2023-07-12,POINT (233094.5725999996 4360425.2521),,,,,,,,,2,IOU
3117.0,2020-09-16,TRK7202-Cabin Tree,LIB-3117,39.29201242,-120.21521131,6305.0,https://liberty.westernweathergroup.com/,2,{5551FE22-5001-4921-9053-88BFF2D1C688},,,Dwarburg,2023-07-12,POINT (222709.2259999998 4354111.6011),,,,,,,,,2,IOU
3111.0,2020-07-27,SQV8200-Squaw Valley,LIB-3111,39.19847105,-120.2303361,6202.0,https://liberty.westernweathergroup.com/,2,{D6C27062-3845-45FF-963E-BECDA9690E15},,,Dwarburg,2023-07-12,POINT (221033.7522 4343773.978800001),,,,,,,,,2,IOU
3128.0,2020-07-30,7201-Alpine Meadows,LIB-3128,39.18169483,-120.22145596,6458.0,https://liberty.westernweathergroup.com/,2,{5A66EFDD-BDCE-4365-9C89-24B81B21C7DC},,,Dwarburg,2023-07-12,POINT (221734.55700000003 4341884.3221),,,,,,,,,2,IOU
3120.0,2020-09-14,TAH7300-Homewood,LIB-3120,39.08579639,-120.16107606,6240.0,https://liberty.westernweathergroup.com/,2,{BE990B6E-797E-4C2E-91BC-BDB2AFE32393},,,Dwarburg,2023-07-12,POINT (226580.14699999988 4331055.0419),,,,,,,,,2,IOU
