Station ID,Station Name,Latitude,Longitude,Elevation,County,Mesonet,First Data Date,Last Data Date,Status
000PG,Southside Road,36.78912,-121.34991,414,San Benito,PGE,2020-09-18,2020-10-15,INACTIVE
,,,,,,,,,
000SE,SCE South Hills Park,34.11814,-117.8552,797,Los Angeles,SC-EDISON,2020-09-11,2021-01-11,ACTIVE
,,,,,,,,,
001PG,South Main Street,38.0589,-120.5344,1409,Calaveras,PGE,2020-09-13,2021-01-11,ACTIVE
,,,,,,,,,
001SE,SCE Glen Way,34.1255,-117.73333,1342,Los Angeles,SC-EDISON,2020-09-11,2021-01-11,ACTIVE
,,,,,,,,,
0027P,Trinidad,41.05973,-124.12889,295,Humboldt,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0028P,Sunnyside 93727,36.72451,-119.70166,335,Fresno,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0029P,CCA W-7,33.79555,-118.26094,46,Los Angeles,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
002PG,Reservation Road,36.63359,-121.69699,83,Monterey,PGE,2020-09-26,2021-01-11,ACTIVE
,,,,,,,,,
002SE,SCE Native Ave,33.96833,-117.90908,646,Los Angeles,SC-EDISON,2020-09-11,2021-01-11,ACTIVE
,,,,,,,,,
0030P,AQMD_RTI_1,34.06567,-118.0213,295,Los Angeles,PURPLEAIR,2019-10-22,2019-12-09,INACTIVE
,,,,,,,,,
0031P,CCA Pepper,34.08956,-118.22607,351,Los Angeles,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0032P,Kari's PurpleAir,37.70912,-121.92197,331,Alameda,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0033P,CARB_SMOKE_MCAPCD_Don-Pedro-Elem,37.67254,-120.35794,1024,Mariposa,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0034P,CARB_SMOKE_TCAPCD_EVERGREENSCHOOLDISTRICT,40.35751,-122.33298,453,Tehama,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0035P,CARB_SMOKE_MCAPCD_ElPortalSchool,37.67279,-119.80827,1864,Mariposa,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0036P,CARB_SMOKE_MCAPCD_MES/HS,37.48816,-119.96352,2047,Mariposa,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0037P,CARB_Smoke_MCAPCD_Wawona,37.55017,-119.64277,4232,Mariposa,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0038P,CARB_MCAPCD_Health_Outside,37.48844,-119.96764,2028,Mariposa,PURPLEAIR,2019-10-22,2020-08-24,INACTIVE
,,,,,,,,,
0039P,CARB_SMOKE_MARIPOSA_MDO,37.5006,-119.84043,3166,Mariposa,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
003PG,POO107 Loma Chiquita,37.10476,-121.82532,2608,Santa Clara,PGE,2020-11-10,2021-01-11,ACTIVE
,,,,,,,,,
003SE,SCE Fullerton Rd,33.96967,-117.91382,587,Los Angeles,SC-EDISON,2020-09-11,2021-01-11,ACTIVE
,,,,,,,,,
0040P,2857 W. 7th Street,34.05992,-118.28798,266,Los Angeles,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0041P,BikeSGV - Alhambra,34.07099,-118.1424,449,Los Angeles,PURPLEAIR,2019-10-22,2020-12-03,INACTIVE
,,,,,,,,,
0042P,BikeSGV - West Pasadena,34.16805,-118.17944,1047,Los Angeles,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0043P,Outer Sunset- Ocean Beach at Kirkham,37.75815,-122.50767,33,San Francisco,PURPLEAIR,2019-10-20,2021-01-11,ACTIVE
,,,,,,,,,
0044P,SCUV_09,34.02392,-118.42871,135,Los Angeles,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0045P,CCA Balboa Pier West,33.60142,-117.90144,20,Orange,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0046P,RUSD_1 (Arlington HS),33.91331,-117.4286,883,Riverside,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0047P,RUSD_3 (MLK HS),33.88207,-117.33329,1657,Riverside,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0048P,AQMD_NASA_16,33.76377,-118.14565,62,Los Angeles,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0049P,RUSD_4 (Amelia Earhart MS),33.89073,-117.3106,1775,Riverside,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
004PG,Weller Road,37.48533,-121.86345,2462,Alameda,PGE,2020-12-08,2021-01-11,ACTIVE
,,,,,,,,,
004SE,SCE N Lyman Ave,34.0887,-117.85,699,Los Angeles,SC-EDISON,2020-09-11,2021-01-11,ACTIVE
,,,,,,,,,
0050P,RUSD_10 (Sierra MS),33.95262,-117.41119,804,Riverside,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0051P,AQMD_NASA_8,34.09469,-118.34805,328,Los Angeles,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0052P,AQMD_NASA_25,34.14176,-118.06075,568,Los Angeles,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0053P,AQMD_NASA_2,34.02153,-117.90991,528,Los Angeles,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0054P,RIVR_Co-loc2,33.9995,-117.41602,820,Riverside,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0055P,AQMD_NASA_13,34.08226,-118.18193,538,Los Angeles,PURPLEAIR,2019-10-22,2020-03-10,INACTIVE
,,,,,,,,,
0056P,AQMD_NASA_9a,33.9628,-118.40628,144,Los Angeles,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0057P,SCSB_02,33.76247,-118.07978,20,Orange,PURPLEAIR,2019-10-22,2020-03-23,INACTIVE
,,,,,,,,,
0058P,RIVR_Co-loc1,33.99998,-117.41676,820,Riverside,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0059P,Amador St at Stutz,38.11055,-122.24354,30,Solano,PURPLEAIR,2019-10-22,2021-01-08,ACTIVE
,,,,,,,,,
005PG,Ridgewood Drive,40.74677,-124.17644,171,Humboldt,PGE,2020-10-30,2021-01-11,ACTIVE
,,,,,,,,,
005SE,SCE Alwick Pl,33.94762,-117.91998,548,Los Angeles,SC-EDISON,2020-09-14,2021-01-11,ACTIVE
,,,,,,,,,
0060P,Glen Cove Ridge,38.06678,-122.22003,213,Solano,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0061P,AQMD_NASA_4,34.01826,-118.46021,161,Los Angeles,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0062P,SCSB_13,33.77309,-118.08105,26,Orange,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0063P,SCSB_11,33.77324,-118.08518,20,Orange,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0064P,CCA Smog City,33.8471,-118.31383,62,Los Angeles,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0065P,SCSB_08,33.77088,-118.08734,20,Orange,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0066P,AQMD_NASA_14,33.99827,-118.43755,56,Los Angeles,PURPLEAIR,2019-10-22,2020-12-08,INACTIVE
,,,,,,,,,
0067P,CCA SP-11,33.71152,-118.29115,223,Los Angeles,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0068P,CCA Barbara and 35th,33.71558,-118.3038,236,Los Angeles,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0069P,SCSB_4,33.76526,-118.0909,20,Orange,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
006PG,Vacaville Tower,38.32575,-122.04104,661,Solano,PGE,2020-11-08,2021-01-11,ACTIVE
,,,,,,,,,
006SE,SCE Cuesta Verde,34.45943,-119.83052,203,Santa Barbara,SC-EDISON,2020-09-15,2021-01-11,ACTIVE
,,,,,,,,,
0070P,AQMD_NASA_18,34.13844,-118.13797,807,Los Angeles,PURPLEAIR,2019-10-22,2020-10-29,INACTIVE
,,,,,,,,,
0071P,SCSB_3,33.76236,-118.09172,16,Orange,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0072P,SCSB_07,33.76231,-118.08269,16,Orange,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0073P,SCSB_05,33.76613,-118.08318,20,Orange,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0074P,St Mary's Park,37.73321,-122.42364,138,San Francisco,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0075P,Kings Mountain SW,37.39356,-122.34721,1316,San Mateo,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0076P,SCSC_33,33.76711,-118.08926,20,Orange,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0077P,RIVR_Co-loc6,33.99998,-117.41676,820,Riverside,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0078P,RIVR_Co-loc5,33.99998,-117.41676,820,Riverside,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0079P,SCSB_31,33.77025,-118.09009,20,Orange,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
007SE,SCE Dennis Reservoir,34.47438,-119.82226,381,Santa Barbara,SC-EDISON,2020-09-15,2021-01-11,ACTIVE
,,,,,,,,,
0080P,mariposa ave Woodcrest CA,33.87416,-117.34583,1752,Riverside,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0081P,SCSB_26,33.76199,-118.08767,20,Orange,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0082P,JPL_Visalia_CARB,36.33254,-119.29099,348,Tulare,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0083P,SCSB_17,33.76539,-118.0782,20,Orange,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0084P,SCUV_04,34.02356,-118.42629,135,Los Angeles,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0085P,SCSB_14,33.76901,-118.07887,20,Orange,PURPLEAIR,2019-10-22,2020-11-27,INACTIVE
,,,,,,,,,
0086P,RIVR_Co-loc4,33.99998,-117.41676,820,Riverside,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0087P,SCSB_25,33.76981,-118.08469,20,Orange,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0088P,RIVR_Co-loc3,33.99998,-117.41676,820,Riverside,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0089P,SBSC_15,33.76881,-118.07858,20,Orange,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
008PG,El Camino Real,36.86074,-121.59027,324,San Benito,PGE,2020-11-08,2021-01-11,ACTIVE
,,,,,,,,,
008SE,SCE Horsethief Canyon,34.31443,-117.35487,3271,San Bernardino,SC-EDISON,2020-09-15,2021-01-11,ACTIVE
,,,,,,,,,
0090P,JPL_Bakersfield_CARB,35.35662,-119.06261,400,Kern,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0091P,SCSB_20,33.77015,-118.19641,49,Los Angeles,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0092P,SCSB_18,33.76517,-118.07825,20,Orange,PURPLEAIR,2019-10-22,2020-09-25,INACTIVE
,,,,,,,,,
0093P,SCSB_30,33.75989,-118.08929,16,Orange,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0094P,JPL_Fresno-Garland_CARB,36.78538,-119.77323,331,Fresno,PURPLEAIR,2019-10-22,2019-12-09,INACTIVE
,,,,,,,,,
0095P,SCSB_21,33.76801,-118.08365,20,Orange,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0096P,AQMD_NASA_29,34.07663,-118.22237,341,Los Angeles,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0097P,SCSB_23,33.77132,-118.08348,23,Orange,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0098P,SCSB_16,33.76507,-118.08144,20,Orange,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0099P,SCSB_22,33.77767,-118.092,26,Orange,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
009PG,Fulton - Calistoga South,38.63502,-122.59485,1292,Napa,PGE,2020-10-25,2021-01-11,ACTIVE
,,,,,,,,,
009SE,SCE Webster Ave,33.79369,-117.24382,1568,Riverside,SC-EDISON,2020-09-15,2021-01-11,ACTIVE
,,,,,,,,,
0100P,SCSB_28,33.77042,-118.09271,20,Orange,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0101P,SCUV_06,34.02421,-118.42672,138,Los Angeles,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0102P,SCUV_05,34.02514,-118.42745,138,Los Angeles,PURPLEAIR,2019-10-22,2020-02-12,INACTIVE
,,,,,,,,,
0103P,AQMD_NASA_19,33.7792,-118.0441,36,Orange,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0104P,AQMD_NASA_36,34.39016,-118.60077,1768,Los Angeles,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0105P,SCAP_01,34.07114,-118.11604,400,Los Angeles,PURPLEAIR,2019-10-22,2019-11-21,INACTIVE
,,,,,,,,,
0106P,SCEM_05,34.07729,-118.00235,318,Los Angeles,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0107P,outside huntington library alt,34.12576,-118.10733,607,Los Angeles,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0108P,AQMD_NASA_45,33.97171,-118.22071,161,Los Angeles,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0109P,Howard Ave,38.12202,-122.23325,131,Solano,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
010PG,Granite Rock,36.90017,-121.62277,514,San Benito,PGE,2020-09-12,2021-01-11,ACTIVE
,,,,,,,,,
010SE,SCE Esperanza Ave,33.90139,-116.76829,1596,Riverside,SC-EDISON,2020-09-16,2021-01-11,ACTIVE
,,,,,,,,,
