"MNET_SHORTNAME","NWSFIREZONE","ELEV_DEM","UNITS","TIMEZONE","SGID","SHORTNAME","ELEVATION","STID","WIMS_ID","GACC","MNET_LONGNAME","STATUS","PERIOD_OF_RECORD","LONGITUDE","COUNTY","STATE","CWA","NWSZONE","ID","MNET_ID","NAME","PROVIDERS","COUNTRY","SENSOR_VARIABLES","RESTRICTED","LATITUDE"
"PGE","MTR515","2490.2","[object Object]","America/Los_Angeles","NC03B","PGE","2487","PG002","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-121.80534","Contra Costa","CA","MTR","CA515","65233","229","Highland Peak Road","[object Object],[object Object]","US","[object Object]","false","37.81296"
"PGE","MTR512","2217.8","[object Object]","America/Los_Angeles","NC03B","PGE","2230","PG003","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-122.18035","Santa Clara","CA","MTR","CA512","65234","229","Page Mill Road","[object Object],[object Object]","US","[object Object]","false","37.32591"
"PGE","MTR512","2956","[object Object]","America/Los_Angeles","NC03B","PGE","2964","PG004","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-121.85796","Santa Cruz","CA","MTR","CA512","65235","229","Loma Prieta Road","[object Object],[object Object]","US","[object Object]","false","37.09883"
"PGE","MTR504","1059.7","[object Object]","America/Los_Angeles","NC02","PGE","1060","PG005","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-122.68386","Sonoma","CA","MTR","CA504","65236","229","Franz Valley Road","[object Object],[object Object]","US","[object Object]","false","38.56465"
"PGE","MTR502","971.1","[object Object]","America/Los_Angeles","NC03A","PGE","1033","PG006","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-122.57871","Marin","CA","MTR","CA502","65237","229","Hogback Road","[object Object],[object Object]","US","[object Object]","false","37.91166"
"PGE","MTR515","1227","[object Object]","America/Los_Angeles","NC03A","PGE","1184","PG009","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-122.19110","Alameda","CA","MTR","CA515","70793","229","Weybridge Court","[object Object],[object Object]","US","[object Object]","false","37.81585"
"PGE","MTR515","803.8","[object Object]","America/Los_Angeles","NC03B","PGE","811","PG010","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-121.73300","Contra Costa","CA","MTR","CA515","70794","229","Los Vaqueros","[object Object],[object Object]","US","[object Object]","false","37.77462"
"PGE","MTR508","561","[object Object]","America/Los_Angeles","NC03A","PGE","1360","PG011","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-122.06166","Alameda","CA","MTR","CA508","70795","229","Cull Canyon Road","[object Object],[object Object]","US","[object Object]","false","37.76125"
"PGE","MTR515","2122.7","[object Object]","America/Los_Angeles","NC03A","PGE","2135","PG012","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-121.92447","Alameda","CA","MTR","CA515","70796","229","Sunol Ridge Trail","[object Object],[object Object]","US","[object Object]","false","37.62226"
"PGE","MTR508","377.3","[object Object]","America/Los_Angeles","NC03A","PGE","373","PG013","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-122.02043","Alameda","CA","MTR","CA508","70797","229","Palomares Road","[object Object],[object Object]","US","[object Object]","false","37.68931"
