"MNET_SHORTNAME","NWSFIREZONE","ELEV_DEM","UNITS","TIMEZONE","SGID","SHORTNAME","ELEVATION","STID","WIMS_ID","GACC","MNET_LONGNAME","STATUS","PERIOD_OF_RECORD","LONGITUDE","COUNTY","STATE","CWA","NWSZONE","ID","MNET_ID","NAME","PROVIDERS","COUNTRY","SENSOR_VARIABLES","RESTRICTED","LATITUDE"
"SDGE","SGX250","1801.2","[object Object]","America/Los_Angeles","SC08","SDGE","1802","ANESD","null","SOCC","San Diego Gas and Electric","ACTIVE","[object Object]","-116.77333","San Diego","CA","SGX","CA050","28710","139","Alpine","[object Object],[object Object]","US","[object Object]","false","32.82708"
"SDGE","SGX250","547.9","[object Object]","America/Los_Angeles","SC08","SDGE","544","AMOSD","null","SOCC","San Diego Gas and Electric","ACTIVE","[object Object]","-117.27654","San Diego","CA","SGX","CA050","28711","139","Ammo Dump","[object Object],[object Object]","US","[object Object]","false","33.35714"
"SDGE","SGX554","508.5","[object Object]","America/Los_Angeles","SC08","SDGE","486","CAPSD","null","SOCC","San Diego Gas and Electric","ACTIVE","[object Object]","-117.54741","Orange","CA","SGX","CA554","28712","139","Bell Canyon","[object Object],[object Object]","US","[object Object]","false","33.55754"
"SDGE","SGX258","3218.5","[object Object]","America/Los_Angeles","SC11","SDGE","3212","CMNSD","null","SOCC","San Diego Gas and Electric","INACTIVE","[object Object]","-116.47076","San Diego","CA","SGX","CA058","28713","139","Cameron","[object Object],[object Object]","US","[object Object]","false","32.71464"
"SDGE","SGX243","442.9","[object Object]","America/Los_Angeles","SC08","SDGE","444","MPESD","null","SOCC","San Diego Gas and Electric","ACTIVE","[object Object]","-117.11908","San Diego","CA","SGX","CA043","28714","139","Camp Elliot","[object Object],[object Object]","US","[object Object]","false","32.85217"
"SDGE","SGX258","3402.2","[object Object]","America/Los_Angeles","SC11","SDGE","3393","DENSD","null","SOCC","San Diego Gas and Electric","INACTIVE","[object Object]","-116.61182","San Diego","CA","SGX","CA058","28715","139","Descanso","[object Object],[object Object]","US","[object Object]","false","32.85883"
"SDGE","SGX250","1532.2","[object Object]","America/Los_Angeles","SC08","SDGE","1536","GOSSD","null","SOCC","San Diego Gas and Electric","ACTIVE","[object Object]","-116.84494","San Diego","CA","SGX","CA050","28716","139","Goose Valley","[object Object],[object Object]","US","[object Object]","false","33.07279"
"SDGE","SGX258","4199.5","[object Object]","America/Los_Angeles","SC11","SDGE","4196","JULSD","null","SOCC","San Diego Gas and Electric","ACTIVE","[object Object]","-116.59080","San Diego","CA","SGX","CA058","28717","139","Julian","[object Object],[object Object]","US","[object Object]","false","33.07656"
"SDGE","SGX258","5780.8","[object Object]","America/Los_Angeles","SC11","SDGE","5775","MLGSD","null","SOCC","San Diego Gas and Electric","ACTIVE","[object Object]","-116.42443","San Diego","CA","SGX","CA058","28718","139","Mt. Laguna","[object Object],[object Object]","US","[object Object]","false","32.87833"
"SDGE","SGX258","5485.6","[object Object]","America/Los_Angeles","SC11","SDGE","5483","PAMSD","null","SOCC","San Diego Gas and Electric","ACTIVE","[object Object]","-116.86286","San Diego","CA","SGX","CA058","28719","139","Mt. Palomar","[object Object],[object Object]","US","[object Object]","false","33.35214"
"SDGE","SGX258","2762.5","[object Object]","America/Los_Angeles","SC11","SDGE","2762","OGVSD","null","SOCC","San Diego Gas and Electric","ACTIVE","[object Object]","-116.78822","San Diego","CA","SGX","CA058","28720","139","Oak Grove","[object Object],[object Object]","US","[object Object]","false","33.39185"
"SDGE","SGX258","4065","[object Object]","America/Los_Angeles","SC11","SDGE","4058","PIHSD","null","SOCC","San Diego Gas and Electric","ACTIVE","[object Object]","-116.63691","San Diego","CA","SGX","CA058","28721","139","Pine Hills","[object Object],[object Object]","US","[object Object]","false","33.04940"
"SDGE","SGX250","2772.3","[object Object]","America/Los_Angeles","SC11","SDGE","2776","POTSD","null","SOCC","San Diego Gas and Electric","ACTIVE","[object Object]","-116.576878","San Diego","CA","SGX","CA050","28722","139","Potrero","[object Object],[object Object]","US","[object Object]","false","32.606357"
"SDGE","SGX258","4120.7","[object Object]","America/Los_Angeles","SC11","SDGE","4116","RCHSD","null","SOCC","San Diego Gas and Electric","ACTIVE","[object Object]","-116.50926","San Diego","CA","SGX","CA058","28723","139","Ranchita","[object Object],[object Object]","US","[object Object]","false","33.21024"
"SDGE","SGX243","488.8","[object Object]","America/Los_Angeles","SC08","SDGE","489","MIGSD","null","SOCC","San Diego Gas and Electric","ACTIVE","[object Object]","-116.98091","San Diego","CA","SGX","CA043","28724","139","San Miguel","[object Object],[object Object]","US","[object Object]","false","32.68478"
"SDGE","SGX250","1204.1","[object Object]","America/Los_Angeles","SC08","SDGE","1213","TLGSD","null","SOCC","San Diego Gas and Electric","ACTIVE","[object Object]","-117.48515","San Diego","CA","SGX","CA050","28725","139","Talega","[object Object],[object Object]","US","[object Object]","false","33.47846"
"SDGE","SGX250","1453.4","[object Object]","America/Los_Angeles","SC08","SDGE","1454","VLCSD","null","SOCC","San Diego Gas and Electric","ACTIVE","[object Object]","-117.00765","San Diego","CA","SGX","CA050","28726","139","Valley Center","[object Object],[object Object]","US","[object Object]","false","33.23567"
"SDGE","SGX250","741.5","[object Object]","America/Los_Angeles","SC08","SDGE","750","COCSD","null","SOCC","San Diego Gas and Electric","ACTIVE","[object Object]","-116.89553","San Diego","CA","SGX","CA050","28727","139","Los Coches","[object Object],[object Object]","US","[object Object]","false","32.85100"
"SDGE","SGX243","259.2","[object Object]","America/Los_Angeles","SC08","SDGE","252","RSFSD","null","SOCC","San Diego Gas and Electric","ACTIVE","[object Object]","-117.19461","San Diego","CA","SGX","CA043","28728","139","Rancho Santa Fe","[object Object],[object Object]","US","[object Object]","false","33.03636"
"SDGE","PSR232","652.9","[object Object]","America/Los_Angeles","SC11","SDGE","636","IMPSD","null","SOCC","San Diego Gas and Electric","ACTIVE","[object Object]","-116.03765","Imperial","CA","PSR","CA562","28729","139","Imperial Valley","[object Object],[object Object]","US","[object Object]","false","32.74489"
"SDGE","SGX262","3211.9","[object Object]","America/Los_Angeles","SC11","SDGE","3218","IKPSD","null","SOCC","San Diego Gas and Electric","ACTIVE","[object Object]","-116.11834","San Diego","CA","SGX","CA062","28730","139","In Ko Pah","[object Object],[object Object]","US","[object Object]","false","32.63601"
"SDGE","SGX250","1040","[object Object]","America/Los_Angeles","SC08","SDGE","1040","JAMSD","null","SOCC","San Diego Gas and Electric","ACTIVE","[object Object]","-116.86987","San Diego","CA","SGX","CA050","28731","139","Jamul","[object Object],[object Object]","US","[object Object]","false","32.71391"
"SDGE","SGX250","1023.6","[object Object]","America/Los_Angeles","SC08","SDGE","1021","SYCSD","null","SOCC","San Diego Gas and Electric","ACTIVE","[object Object]","-117.02959","San Diego","CA","SGX","CA050","28732","139","Sycamore Canyon","[object Object],[object Object]","US","[object Object]","false","32.91468"
"SDGE","SGX250","433.1","[object Object]","America/Los_Angeles","SC08","SDGE","436","ELMSD","null","SOCC","San Diego Gas and Electric","ACTIVE","[object Object]","-116.89600","San Diego","CA","SGX","CA050","28733","139","El Monte Road","[object Object],[object Object]","US","[object Object]","false","32.86707"
"SDGE","SGX250","675.9","[object Object]","America/Los_Angeles","SC08","SDGE","670","RIOSD","null","SOCC","San Diego Gas and Electric","ACTIVE","[object Object]","-116.88113","San Diego","CA","SGX","CA050","28734","139","Rios Canyon","[object Object],[object Object]","US","[object Object]","false","32.84329"
"SDGE","SGX258","3543.3","[object Object]","America/Los_Angeles","SC11","SDGE","3539","TDSSD","null","SOCC","San Diego Gas and Electric","ACTIVE","[object Object]","-116.34693","San Diego","CA","SGX","CA058","28735","139","Tierra Del Sol","[object Object],[object Object]","US","[object Object]","false","32.64455"
"SDGE","SGX250","1479.7","[object Object]","America/Los_Angeles","SC08","SDGE","1482","CSTSD","null","SOCC","San Diego Gas and Electric","ACTIVE","[object Object]","-116.85432","San Diego","CA","SGX","CA050","28736","139","Crest","[object Object],[object Object]","US","[object Object]","false","32.81150"
"SDGE","SGX258","3093.8","[object Object]","America/Los_Angeles","SC11","SDGE","3090","MORSD","null","SOCC","San Diego Gas and Electric","ACTIVE","[object Object]","-116.51244","San Diego","CA","SGX","CA058","28737","139","Morena","[object Object],[object Object]","US","[object Object]","false","32.68833"
"SDGE","SGX250","981","[object Object]","America/Los_Angeles","SC08","SDGE","991","HARSD","null","SOCC","San Diego Gas and Electric","ACTIVE","[object Object]","-116.82888","San Diego","CA","SGX","CA050","28738","139","Harbison Canyon","[object Object],[object Object]","US","[object Object]","false","32.82225"
